Product Name,URL,Price
Quantum QHM6633 4-Port USB Hub (Multicolor),/Quantum-QHM6633-Port-color-vary/dp/B00MFCT3GS/ref=sr_1_55?crid=15INFDM7Y2K5T&keywords=laptops+under+40000+rupees&qid=1559462468&s=gateway&sprefix=laptops%2Caps%2C310&sr=8-55,149
"HP 15 Pentium 15.6-inch Laptop (4GB/1TB HDD/DOS/Jet Black /2.04 kg), 15q-ds0001TU",/HP-Pentium-15-6-inch-Laptop-15q-ds0001TU/dp/B07DYML33H/ref=sr_1_56?crid=15INFDM7Y2K5T&keywords=laptops+under+40000+rupees&qid=1559462468&s=gateway&sprefix=laptops%2Caps%2C310&sr=8-56,"20,990"
"HP 15 AMD Ryzen 3 15.6-inch Laptop (4GB/1TB HDD/Windows 10 Home/Sparkling Black/2.04 kg), dy0004AU",/HP-15-6-inch-Windows-Sparkling-dy0004AU/dp/B07H38T3PG/ref=sr_1_57?crid=15INFDM7Y2K5T&keywords=laptops+under+40000+rupees&qid=1559462468&s=gateway&sprefix=laptops%2Caps%2C310&sr=8-57,"26,890"
Lenovo N100 Wireless Mouse (Black),/Lenovo-N100-Wireless-Mouse-Black/dp/B00J11HG8S/ref=sr_1_58?crid=15INFDM7Y2K5T&keywords=laptops+under+40000+rupees&qid=1559462468&s=gateway&sprefix=laptops%2Caps%2C310&sr=8-58,599
HP Express 27 ltrs 15.6-inch Laptop Backpack (Black),/HP-Express-Backpack-15-6-inch-laptops/dp/B07H5YQ1MS/ref=sr_1_59?crid=15INFDM7Y2K5T&keywords=laptops+under+40000+rupees&qid=1559462468&s=gateway&sprefix=laptops%2Caps%2C310&sr=8-59,649
Logitech M235 Wireless Mouse - Optical Red,/Logitech-M235-Wireless-Mouse-Red/dp/B004QTBPWI/ref=sr_1_60?crid=15INFDM7Y2K5T&keywords=laptops+under+40000+rupees&qid=1559462468&s=gateway&sprefix=laptops%2Caps%2C310&sr=8-60,599
"Lenovo Ideapad 330 Intel Core i3 6th Gen 15.6-inch HD Laptop (4GB RAM/1 TB HDD/DOS/Onyx Black/2.2 kg), 81DC00TFIN",/Lenovo-Ideapad-15-6-inch-Laptop-81DC00TFIN/dp/B07NVSW4LC/ref=sr_1_61?crid=15INFDM7Y2K5T&keywords=laptops+under+40000+rupees&qid=1559462468&s=gateway&sprefix=laptops%2Caps%2C310&sr=8-61,"24,990"
ADISA BP004 Navy Blue Light Weight 31 Ltrs Casual Laptop Backpack,/ADISA-BP004-Weight-Casual-Backpack/dp/B07G3CG9FC/ref=sr_1_62?crid=15INFDM7Y2K5T&keywords=laptops+under+40000+rupees&qid=1559462468&s=gateway&sprefix=laptops%2Caps%2C310&sr=8-62,599
Portronics POR-835 My Buddy Lite Foldable Laptop Stand (Silver),/Portronics-POR-835-Foldable-Laptop-Silver/dp/B0797TQFPB/ref=sr_1_63?crid=15INFDM7Y2K5T&keywords=laptops+under+40000+rupees&qid=1559462468&s=gateway&sprefix=laptops%2Caps%2C310&sr=8-63,739
"Sassie Leatherette 12 LTR Brown Office Bag, Laptop Briefase, Sling Bag, Messanger Bag & Laptop Bag",/Sassie-Leatherette-Office-Briefase-Messanger/dp/B07P8CPLZ8/ref=sr_1_64?crid=15INFDM7Y2K5T&keywords=laptops+under+40000+rupees&qid=1559462468&s=gateway&sprefix=laptops%2Caps%2C310&sr=8-64,563
